iter	Passed	Remaining
872	59578	8667
873	59662	8601
874	59721	8531
875	59790	8463
876	59869	8396
877	59927	8327
878	59993	8258
879	60051	8188
880	60106	8118
881	60180	8051
882	60249	7983
883	60322	7915
884	60390	7847
885	60454	7778
886	60518	7709
887	60585	7641
888	60658	7573
889	60722	7505
890	60794	7437
891	60861	7368
892	60919	7299
893	60981	7230
894	61043	7161
895	61102	7092
896	61160	7022
897	61217	6953
898	61281	6884
899	61339	6815
900	61412	6747
901	61478	6679
902	61544	6611
903	61598	6541
904	61659	6472
905	61717	6403
906	61779	6334
907	61839	6265
908	61894	6196
909	61955	6127
910	62009	6058
911	62067	5988
912	62126	5920
913	62186	5851
914	62258	5783
915	62314	5714
916	62377	5645
917	62433	5576
918	62515	5510
919	62579	5441
920	62640	5373
921	62701	5304
922	62759	5235
923	62830	5167
924	62889	5099
925	62945	5030
926	63006	4961
927	63066	4893
928	63124	4824
929	63181	4755
930	63244	4687
931	63302	4618
932	63360	4549
933	63421	4481
934	63492	4413
935	63555	4345
936	63616	4277
937	63677	4208
938	63742	4140
939	63838	4074
940	63909	4007
941	63980	3939
942	64034	3870
943	64101	3802
944	64162	3734
945	64216	3665
946	64278	3597
947	64340	3529
948	64399	3460
949	64466	3392
950	64524	3324
951	64590	3256
952	64654	3188
953	64721	3120
954	64780	3052
955	64838	2984
956	64894	2915
957	64953	2847
958	65010	2779
959	65095	2712
960	65152	2644
961	65214	2576
962	65273	2507
963	65331	2439
964	65393	2371
965	65451	2303
966	65506	2235
967	65568	2167
968	65622	2099
969	65681	2031
970	65739	1963
971	65794	1895
972	65851	1827
973	65913	1759
974	65973	1691
975	66033	1623
976	66098	1556
977	66165	1488
978	66225	1420
979	66285	1352
980	66339	1284
981	66405	1217
982	66464	1149
983	66530	1081
984	66591	1014
985	66659	946
986	66750	879
987	66813	811
988	66870	743
989	66936	676
990	66999	608
991	67058	540
992	67119	473
993	67182	405
994	67241	337
995	67308	270
996	67369	202
997	67429	135
998	67489	67
999	67549	0
