matchid,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
5700265,The Sapphire Flame,Shiv,Wraith,Haze,Viscous,Grey Talon,Lady Geist,McGinnis,Bebop,Lash,Yamato,Seven,Vindicta
5700266,The Amber Hand,Wraith,Yamato,Viscous,Abrams,Shiv,Haze,Vindicta,Seven,Mo & Krill,Lady Geist,Bebop,Paradox
5700267,The Amber Hand,Haze,Grey Talon,Vindicta,Yamato,Abrams,McGinnis,Viscous,Dynamo,Bebop,Pocket,Seven,Infernus
5700268,The Amber Hand,Grey Talon,Paradox,Viscous,Mo & Krill,Bebop,Kelvin,Wraith,Seven,Pocket,Lady Geist,Haze,Vindicta
5700269,The Sapphire Flame,Warden,Dynamo,Pocket,Seven,Infernus,Ivy,Vindicta,Haze,Grey Talon,Yamato,Lady Geist,Wraith
5700272,The Amber Hand,Mo & Krill,Seven,Haze,Grey Talon,Warden,Kelvin,Paradox,McGinnis,Vindicta,Wraith,Abrams,Bebop
5700274,The Sapphire Flame,Warden,Vindicta,Dynamo,McGinnis,Kelvin,Viscous,Ivy,Bebop,Wraith,Mo & Krill,Lash,Haze
5700275,The Sapphire Flame,Viscous,Paradox,Grey Talon,Infernus,Warden,Bebop,Haze,Wraith,Vindicta,Lash,Shiv,Lady Geist
5700276,The Sapphire Flame,Bebop,Lady Geist,McGinnis,Haze,Abrams,Yamato,Pocket,Seven,Wraith,Vindicta,Infernus,Grey Talon
5700279,The Amber Hand,Wraith,Haze,Yamato,Abrams,Dynamo,Infernus,Shiv,Bebop,Kelvin,Seven,Vindicta,McGinnis
5700280,The Sapphire Flame,Pocket,Infernus,Grey Talon,Yamato,Ivy,Kelvin,McGinnis,Bebop,Seven,Abrams,Haze,Viscous
5700281,The Sapphire Flame,Infernus,Wraith,Haze,Warden,Abrams,Vindicta,Ivy,Paradox,Yamato,Pocket,Bebop,Seven
5700282,The Sapphire Flame,Viscous,Vindicta,Grey Talon,Ivy,Kelvin,McGinnis,Haze,Warden,Paradox,Seven,Dynamo,Infernus
5700284,The Sapphire Flame,Grey Talon,Warden,Bebop,Abrams,Infernus,Paradox,Seven,Haze,Pocket,Wraith,Vindicta,Shiv
