matchid,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
6300126,The Amber Hand,Warden,Abrams,Infernus,Bebop,Haze,Vindicta,Dynamo,Ivy,Wraith,Seven,Lady Geist,Kelvin
6300127,The Sapphire Flame,Abrams,Bebop,Wraith,Kelvin,Haze,Seven,Yamato,Grey Talon,Lady Geist,Dynamo,Infernus,Vindicta
6300128,The Amber Hand,Grey Talon,Lash,Bebop,Seven,Haze,Pocket,Abrams,Dynamo,Infernus,Vindicta,Wraith,Paradox
6300129,The Sapphire Flame,Kelvin,Grey Talon,Bebop,Lady Geist,Dynamo,Infernus,Haze,Seven,Wraith,Paradox,McGinnis,Vindicta
6300130,The Sapphire Flame,Abrams,Bebop,Vindicta,Warden,Seven,Infernus,Lash,Lady Geist,Haze,Wraith,Grey Talon,Yamato
6300131,The Amber Hand,Haze,Warden,Viscous,Seven,Yamato,Bebop,McGinnis,Abrams,Grey Talon,Wraith,Vindicta,Infernus
6300135,The Sapphire Flame,Paradox,Vindicta,Dynamo,Haze,Seven,Wraith,Lady Geist,Warden,McGinnis,Abrams,Ivy,Infernus
6300136,The Sapphire Flame,Warden,Bebop,Infernus,Wraith,Grey Talon,Seven,Yamato,Ivy,Shiv,Vindicta,Haze,Paradox
6300137,The Amber Hand,Mo & Krill,Ivy,Haze,Bebop,Paradox,Viscous,Yamato,Seven,Dynamo,Vindicta,McGinnis,Infernus
6300138,The Sapphire Flame,Vindicta,Grey Talon,Yamato,Seven,Wraith,Lash,Kelvin,Infernus,Haze,Abrams,Bebop,Mo & Krill
6300139,The Amber Hand,Haze,Pocket,Infernus,Bebop,Abrams,Shiv,Seven,Viscous,Yamato,Grey Talon,Wraith,Vindicta
6300140,The Sapphire Flame,Kelvin,Vindicta,Seven,Bebop,Yamato,Paradox,Haze,Pocket,Dynamo,Wraith,Infernus,Ivy
6300141,The Amber Hand,Infernus,Pocket,McGinnis,Dynamo,Bebop,Wraith,Viscous,Haze,Seven,Yamato,Warden,Vindicta
6300143,The Amber Hand,Haze,McGinnis,Grey Talon,Shiv,Bebop,Infernus,Vindicta,Warden,Lady Geist,Seven,Yamato,Wraith
6300144,The Sapphire Flame,Abrams,McGinnis,Vindicta,Lash,Infernus,Haze,Seven,Wraith,Mo & Krill,Bebop,Pocket,Kelvin
6300146,The Amber Hand,Shiv,Seven,Yamato,McGinnis,Warden,Bebop,Kelvin,Paradox,Abrams,Pocket,Vindicta,Lady Geist
6300147,The Amber Hand,Bebop,Mo & Krill,Grey Talon,Warden,Lash,Haze,Infernus,Seven,Abrams,McGinnis,Vindicta,Dynamo
6300152,The Sapphire Flame,Grey Talon,Paradox,Haze,Vindicta,Seven,Infernus,Wraith,Bebop,Viscous,Pocket,Ivy,Abrams
