matchid,duration,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
6425969,35:23,1,haze,warden,bebop,mcginnis,mo & krill,infernus,lady geist,paradox,yamato,pocket,lash,wraith
6425970,31:57,1,pocket,paradox,grey talon,wraith,mo & krill,seven,warden,abrams,kelvin,lady geist,lash,yamato
6425971,49:11,0,grey talon,warden,wraith,mcginnis,haze,yamato,kelvin,lash,ivy,paradox,shiv,vindicta
6425979,38:34,0,shiv,lady geist,bebop,wraith,abrams,mcginnis,vindicta,grey talon,infernus,paradox,mo & krill,haze
6425980,19:35,0,lady geist,seven,ivy,shiv,wraith,pocket,infernus,vindicta,haze,viscous,paradox,grey talon
6425981,31:06,0,warden,abrams,vindicta,shiv,paradox,seven,kelvin,lady geist,infernus,wraith,pocket,grey talon
6425983,37:53,0,abrams,seven,wraith,shiv,lady geist,infernus,bebop,haze,mcginnis,vindicta,lash,kelvin
6425988,41:42,0,paradox,vindicta,seven,bebop,abrams,warden,infernus,haze,grey talon,wraith,lady geist,lash
6425989,40:15,0,infernus,wraith,grey talon,yamato,ivy,seven,shiv,haze,bebop,pocket,vindicta,warden
6425998,15:46,0,mo & krill,grey talon,infernus,vindicta,mcginnis,seven,wraith,haze,paradox,abrams,warden,dynamo
6426000,25:36,0,paradox,wraith,dynamo,vindicta,infernus,grey talon,abrams,haze,bebop,shiv,pocket,seven
6426001,23:09,0,abrams,mo & krill,seven,viscous,grey talon,shiv,haze,mcginnis,yamato,infernus,vindicta,bebop
6426004,35:55,1,infernus,paradox,haze,abrams,seven,yamato,mcginnis,ivy,vindicta,pocket,lash,dynamo
6426005,39:09,0,seven,wraith,haze,vindicta,yamato,dynamo,mcginnis,grey talon,lady geist,paradox,lash,infernus
6426006,23:15,1,bebop,vindicta,lady geist,warden,haze,kelvin,viscous,pocket,seven,dynamo,abrams,lash
6426008,22:32,0,paradox,haze,vindicta,bebop,infernus,mcginnis,shiv,abrams,wraith,seven,lady geist,yamato
6426009,16:31,1,pocket,paradox,lash,abrams,seven,kelvin,mcginnis,haze,wraith,bebop,dynamo,warden
6426019,32:42,1,seven,haze,mcginnis,bebop,kelvin,pocket,ivy,mo & krill,yamato,viscous,vindicta,infernus
6426020,34:48,1,wraith,mcginnis,abrams,infernus,pocket,seven,vindicta,yamato,bebop,warden,haze,ivy
6426023,50:31,0,viscous,haze,infernus,pocket,lady geist,vindicta,seven,abrams,mo & krill,lash,shiv,grey talon
6426025,36:27,1,paradox,bebop,viscous,dynamo,infernus,vindicta,seven,wraith,grey talon,yamato,warden,lady geist
6426026,38:12,1,vindicta,seven,wraith,ivy,infernus,haze,grey talon,mcginnis,yamato,abrams,bebop,mo & krill
6426028,45:19,1,seven,lady geist,warden,viscous,mo & krill,dynamo,mcginnis,haze,bebop,abrams,yamato,infernus
6426029,32:50,0,paradox,wraith,infernus,dynamo,haze,bebop,mo & krill,vindicta,seven,pocket,mcginnis,grey talon
6426030,30:23,0,seven,bebop,wraith,haze,lady geist,viscous,infernus,lash,grey talon,mo & krill,shiv,vindicta
6426034,34:35,0,lady geist,pocket,vindicta,wraith,ivy,kelvin,paradox,seven,dynamo,grey talon,haze,infernus
6426035,31:43,1,abrams,mcginnis,vindicta,bebop,pocket,haze,ivy,kelvin,lash,yamato,wraith,dynamo
6426036,8:26,1,mcginnis,vindicta,dynamo,seven,wraith,yamato,bebop,grey talon,paradox,kelvin,haze,infernus
6426037,19:21,0,vindicta,yamato,mo & krill,mcginnis,dynamo,wraith,grey talon,paradox,viscous,pocket,haze,seven
6426038,54:40,0,shiv,kelvin,bebop,grey talon,vindicta,lady geist,infernus,mcginnis,paradox,abrams,wraith,seven
6426039,40:06,1,kelvin,haze,bebop,warden,wraith,seven,vindicta,lash,mo & krill,grey talon,dynamo,viscous
6426041,35:51,1,bebop,mcginnis,kelvin,lady geist,haze,infernus,pocket,seven,wraith,paradox,warden,lash
6426045,45:14,1,vindicta,mcginnis,wraith,haze,viscous,ivy,warden,kelvin,lady geist,pocket,paradox,lash
6426046,29:57,0,lash,bebop,seven,infernus,vindicta,pocket,warden,yamato,shiv,wraith,haze,grey talon
6426049,17:33,0,haze,viscous,vindicta,kelvin,warden,bebop,abrams,lady geist,infernus,paradox,wraith,seven
6426050,21:09,1,abrams,kelvin,infernus,wraith,vindicta,dynamo,warden,grey talon,mcginnis,shiv,seven,haze
6426051,20:29,0,shiv,wraith,lady geist,mcginnis,infernus,grey talon,haze,seven,pocket,warden,vindicta,yamato
6426052,32:03,0,kelvin,bebop,paradox,pocket,mcginnis,warden,wraith,infernus,yamato,grey talon,seven,haze
6426053,21:13,0,warden,abrams,haze,bebop,wraith,paradox,mcginnis,seven,yamato,infernus,dynamo,vindicta
6426056,42:35,0,abrams,warden,vindicta,haze,lady geist,mcginnis,seven,wraith,bebop,pocket,shiv,infernus
6426057,34:16,0,kelvin,bebop,mo & krill,infernus,viscous,lash,wraith,pocket,shiv,seven,vindicta,grey talon
6426058,27:57,0,bebop,shiv,infernus,mo & krill,mcginnis,dynamo,yamato,haze,seven,vindicta,lady geist,wraith
6426061,35:22,1,wraith,warden,abrams,kelvin,bebop,vindicta,infernus,grey talon,lash,lady geist,mcginnis,dynamo
6426063,20:26,1,yamato,bebop,haze,shiv,grey talon,dynamo,seven,warden,pocket,wraith,vindicta,infernus
6426065,33:17,1,seven,mo & krill,vindicta,ivy,lash,infernus,haze,wraith,bebop,warden,yamato,kelvin
6426068,37:08,1,paradox,abrams,lash,infernus,kelvin,bebop,pocket,haze,mo & krill,warden,grey talon,mcginnis
6426070,23:35,1,grey talon,mo & krill,viscous,ivy,haze,vindicta,warden,bebop,mcginnis,seven,wraith,lady geist
6426071,6:21,0,abrams,shiv,pocket,paradox,seven,haze,infernus,warden,wraith,lady geist,lash,vindicta
6426072,25:37,1,pocket,kelvin,shiv,bebop,mo & krill,grey talon,infernus,ivy,haze,abrams,warden,wraith
6426074,36:33,1,kelvin,shiv,mo & krill,dynamo,mcginnis,ivy,lady geist,seven,pocket,vindicta,haze,bebop
6426075,13:21,0,abrams,dynamo,warden,bebop,shiv,paradox,viscous,wraith,mcginnis,haze,seven,infernus
